timestamp,fps,left_conf,center_conf,right_conf,lane_width_m,lateral_error_m,heading_error_deg,curvature,lookahead_m,target_speed,actual_speed,steer_raw,steer_filtered,tracking_state,reconstruction_method
1787048456.312,0.5,0.000,0.649,0.000,0.6000,-0.0642,4.50,-0.32596,0.167,0.191,0.000,-0.9168,-0.9617,TRACKING,C_only
1787048456.445,0.5,0.000,0.649,0.000,0.6000,-0.0643,4.47,-0.32689,0.167,0.201,0.000,-0.9176,-0.9625,TRACKING,C_only
1787048456.531,0.5,0.000,0.649,0.000,0.6000,-0.0642,4.49,-0.32575,0.167,0.211,0.000,-0.9170,-0.9619,TRACKING,C_only
1787048456.611,0.5,0.000,0.649,0.000,0.6000,-0.0633,4.54,-0.32417,0.168,0.221,0.000,-0.9096,-0.9541,TRACKING,C_only
1787048456.683,0.5,0.000,0.650,0.000,0.6000,-0.0630,4.66,-0.32458,0.168,0.230,0.000,-0.9095,-0.9542,TRACKING,C_only
1787048456.755,0.5,0.000,0.649,0.000,0.6000,-0.0615,4.97,-0.31454,0.169,0.238,0.000,-0.8956,-0.9400,TRACKING,C_only
1787048456.825,0.5,0.000,0.649,0.000,0.6000,-0.0577,5.32,-0.29590,0.170,0.246,0.000,-0.9120,-0.9549,TRACKING,C_only
1787048456.892,0.5,0.000,0.649,0.000,0.6000,-0.0563,5.40,-0.29459,0.171,0.254,0.000,-0.9015,-0.9439,TRACKING,C_only
1787048456.963,0.5,0.000,0.650,0.000,0.6000,-0.0546,5.38,-0.30590,0.169,0.261,0.000,-0.8978,-0.9396,TRACKING,C_only
1787048457.050,0.5,0.000,0.655,0.715,0.6310,-0.0588,2.87,-0.45005,0.155,0.268,0.000,-0.9443,-0.9857,TRACKING,R+C
1787048457.143,0.5,0.000,0.653,0.724,0.6577,-0.0525,4.54,-0.36009,0.164,0.275,0.000,-0.8479,-0.8880,TRACKING,R+C
1787048457.227,0.5,0.000,0.651,0.739,0.6782,-0.0553,2.34,-0.47401,0.153,0.281,0.000,-0.9218,-0.9610,TRACKING,R+C
1787048457.316,12.0,0.000,0.650,0.749,0.6795,-0.0489,2.93,-0.46445,0.154,0.287,0.000,-0.8648,-0.9019,TRACKING,R+C
1787048457.408,12.0,0.000,0.648,0.769,0.6792,-0.0397,4.89,-0.35730,0.164,0.293,0.000,-0.7303,-0.7650,TRACKING,R+C
1787048457.498,12.0,0.000,0.647,0.801,0.6822,-0.0331,5.46,-0.35038,0.165,0.298,0.000,-0.6699,-0.7025,TRACKING,R+C
1787048457.593,12.0,0.000,0.646,0.820,0.6856,-0.0304,5.00,-0.42188,0.158,0.303,0.000,-0.6845,-0.7163,TRACKING,R+C
1787048457.685,12.0,0.000,0.647,0.857,0.6982,-0.0248,5.85,-0.35826,0.164,0.308,0.000,-0.5941,-0.6239,TRACKING,R+C
1787048457.774,12.0,0.000,0.647,0.799,0.6315,-0.0213,6.03,-0.37243,0.163,0.313,0.000,-0.5678,-0.5966,TRACKING,R+C
1787048457.864,12.0,0.000,0.646,0.806,0.5812,-0.0179,6.83,-0.33246,0.167,0.317,0.000,-0.5229,-0.5509,TRACKING,R+C
1787048457.952,12.0,0.000,0.648,0.800,0.6173,-0.0157,7.33,-0.31935,0.168,0.321,0.000,-0.5039,-0.5316,TRACKING,R+C
1787048458.040,12.0,0.000,0.649,0.802,0.7630,-0.0152,8.40,-0.22900,0.177,0.325,0.000,-0.5680,-0.5960,TRACKING,R+C
1787048458.129,12.0,0.000,0.651,0.809,0.7277,-0.0162,6.73,-0.38240,0.162,0.329,0.000,-0.5345,-0.5624,TRACKING,R+C
1787048458.223,12.0,0.000,0.654,0.828,0.6748,-0.0234,6.97,-0.31675,0.168,0.332,0.000,-0.5809,-0.6115,TRACKING,R+C
1787048458.307,12.0,0.000,0.651,0.818,0.6538,0.0078,19.75,0.36157,0.164,0.336,0.000,-0.5496,-0.5786,TRACKING,R+C
1787048458.402,11.1,0.000,0.650,0.819,0.6515,-0.0085,15.83,0.21407,0.179,0.339,0.000,-0.6630,-0.6946,TRACKING,R+C
1787048458.493,11.1,0.000,0.649,0.814,0.6560,-0.0193,12.63,0.06162,0.194,0.342,0.000,-0.6002,-0.6333,TRACKING,R+C
