timestamp,state,steer,speed,front_dist,offset,event
1784264294.729,WAITING,0.000,0.00,0.00,0.0,RUN_START
1784264294.765,WAITING,0.000,0.00,0.00,0.0,LINE_FOUND
1784264294.850,KEEP_LANE,-0.900,0.22,1.23,0.0,
1784264294.917,KEEP_LANE,-0.180,0.22,1.23,0.0,
1784264294.983,KEEP_LANE,-0.180,0.22,1.23,0.0,
1784264295.049,KEEP_LANE,-0.180,0.22,1.23,0.0,
1784264295.118,KEEP_LANE,0.232,0.22,1.23,0.0,
1784264295.187,KEEP_LANE,-0.016,0.22,1.22,0.0,
1784264295.252,KEEP_LANE,-0.060,0.22,1.20,0.0,
1784264295.318,KEEP_LANE,-0.606,0.22,1.20,0.0,
1784264295.381,KEEP_LANE,-0.320,0.22,1.18,0.0,
1784264295.443,KEEP_LANE,-0.225,0.22,1.18,0.0,
1784264295.512,KEEP_LANE,-0.166,0.22,1.16,0.0,
1784264295.575,KEEP_LANE,-0.087,0.22,1.16,0.0,
1784264295.638,KEEP_LANE,-0.117,0.22,1.15,0.0,
1784264295.680,KEEP_LANE,0.000,0.00,0.00,0.0,LANE_LOST
1784264295.725,RECOVERING,0.000,0.00,0.00,0.0,LANE_FOUND
1784264295.795,KEEP_LANE,-0.675,0.22,1.13,0.0,
1784264295.862,KEEP_LANE,-0.077,0.22,1.13,0.0,
1784264295.927,KEEP_LANE,0.312,0.22,1.11,0.0,
1784264295.990,KEEP_LANE,0.048,0.22,1.11,0.0,
1784264296.061,KEEP_LANE,-0.233,0.22,1.09,0.0,
1784264296.129,KEEP_LANE,-0.060,0.22,1.07,0.0,
1784264296.193,KEEP_LANE,-0.060,0.22,1.07,0.0,
1784264296.260,KEEP_LANE,-0.060,0.22,1.05,0.0,
1784264296.326,KEEP_LANE,-0.060,0.22,1.05,0.0,
1784264296.391,KEEP_LANE,1.000,0.22,1.04,0.0,
1784264296.457,KEEP_LANE,-1.000,0.22,1.04,0.0,
1784264296.524,KEEP_LANE,-0.372,0.22,1.02,0.0,
1784264296.591,KEEP_LANE,-0.210,0.22,1.02,0.0,
1784264296.660,KEEP_LANE,-0.107,0.22,1.00,0.0,
1784264296.726,KEEP_LANE,-0.211,0.22,1.00,0.0,
1784264296.789,KEEP_LANE,-0.103,0.22,0.98,0.0,
1784264296.850,KEEP_LANE,-0.086,0.22,0.98,0.0,
1784264296.914,KEEP_LANE,-0.135,0.22,0.96,0.0,
1784264296.974,KEEP_LANE,-0.070,0.22,0.96,0.0,
1784264297.037,KEEP_LANE,0.316,0.22,0.94,0.0,
1784264297.101,KEEP_LANE,0.048,0.22,0.94,0.0,
1784264297.166,KEEP_LANE,0.000,0.22,0.92,0.0,
1784264297.240,KEEP_LANE,-0.385,0.22,0.92,0.0,
1784264297.306,KEEP_LANE,-0.044,0.22,0.90,0.0,
1784264297.375,KEEP_LANE,-0.207,0.22,0.90,0.0,
1784264297.439,KEEP_LANE,-0.059,0.22,0.88,0.0,
1784264297.509,KEEP_LANE,-0.223,0.22,0.88,0.0,
1784264297.576,KEEP_LANE,-0.076,0.22,0.86,0.0,
1784264297.644,KEEP_LANE,-0.120,0.22,0.86,0.0,
1784264297.730,AVOID_OBSTACLE,-0.225,0.22,0.85,5.0,
1784264297.786,AVOID_OBSTACLE,0.790,0.13,0.83,10.0,
1784264297.848,AVOID_OBSTACLE,0.451,0.13,0.83,15.0,
1784264297.904,AVOID_OBSTACLE,1.000,0.13,0.83,20.0,
1784264297.959,AVOID_OBSTACLE,-1.000,0.13,0.81,25.0,
1784264298.014,AVOID_OBSTACLE,0.577,0.13,0.81,30.0,
1784264298.069,AVOID_OBSTACLE,0.641,0.13,0.79,35.0,
1784264298.124,AVOID_OBSTACLE,0.765,0.13,0.79,40.0,
1784264298.179,AVOID_OBSTACLE,0.705,0.13,0.78,45.0,
1784264298.232,AVOID_OBSTACLE,0.824,0.13,0.78,50.0,
1784264298.287,AVOID_OBSTACLE,0.810,0.13,0.77,55.0,
1784264298.341,AVOID_OBSTACLE,0.929,0.13,0.77,60.0,
1784264298.397,AVOID_OBSTACLE,0.981,0.13,0.77,65.0,
1784264298.453,AVOID_OBSTACLE,1.000,0.13,0.76,70.0,
1784264298.507,AVOID_OBSTACLE,1.000,0.13,0.76,75.0,
1784264298.561,AVOID_OBSTACLE,1.000,0.13,0.74,80.0,
1784264298.617,AVOID_OBSTACLE,1.000,0.13,0.74,85.0,
1784264298.675,AVOID_OBSTACLE,1.000,0.13,0.72,85.0,
1784264298.728,AVOID_OBSTACLE,1.000,0.13,0.72,85.0,
1784264298.781,AVOID_OBSTACLE,1.000,0.13,0.72,85.0,
1784264298.833,AVOID_OBSTACLE,1.000,0.13,0.72,85.0,
1784264298.886,AVOID_OBSTACLE,1.000,0.13,0.72,85.0,
1784264298.942,AVOID_OBSTACLE,-1.000,0.13,0.70,85.0,
1784264298.999,AVOID_OBSTACLE,1.000,0.13,0.70,85.0,
1784264299.054,AVOID_OBSTACLE,1.000,0.13,0.69,85.0,
1784264299.106,AVOID_OBSTACLE,1.000,0.13,0.69,85.0,
1784264299.160,AVOID_OBSTACLE,1.000,0.13,0.69,85.0,
1784264299.214,AVOID_OBSTACLE,1.000,0.13,0.68,85.0,
1784264299.267,AVOID_OBSTACLE,1.000,0.13,0.68,85.0,
1784264299.321,AVOID_OBSTACLE,1.000,0.13,0.67,85.0,
1784264299.375,AVOID_OBSTACLE,1.000,0.13,0.67,85.0,
1784264299.428,AVOID_OBSTACLE,1.000,0.13,0.66,85.0,
1784264299.480,AVOID_OBSTACLE,1.000,0.13,0.66,85.0,
1784264299.533,AVOID_OBSTACLE,1.000,0.13,0.66,85.0,
1784264299.586,AVOID_OBSTACLE,1.000,0.13,0.65,85.0,
1784264299.640,AVOID_OBSTACLE,1.000,0.13,0.65,85.0,
1784264299.696,AVOID_OBSTACLE,1.000,0.13,3.44,85.0,
1784264299.761,AVOID_OBSTACLE,1.000,0.13,3.44,83.0,
1784264299.816,AVOID_OBSTACLE,1.000,0.13,3.44,81.0,
1784264299.872,AVOID_OBSTACLE,1.000,0.13,3.44,79.0,
1784264299.924,AVOID_OBSTACLE,1.000,0.13,3.44,77.0,
1784264299.976,AVOID_OBSTACLE,1.000,0.13,3.41,75.0,
1784264300.029,AVOID_OBSTACLE,1.000,0.13,3.41,73.0,
1784264300.081,AVOID_OBSTACLE,1.000,0.13,3.40,71.0,
1784264300.133,AVOID_OBSTACLE,1.000,0.13,3.40,69.0,
1784264300.186,AVOID_OBSTACLE,0.973,0.13,3.41,67.0,
1784264300.238,AVOID_OBSTACLE,0.971,0.13,3.41,65.0,
1784264300.292,AVOID_OBSTACLE,0.843,0.13,3.41,63.0,
1784264300.348,AVOID_OBSTACLE,0.849,0.13,3.38,61.0,
1784264300.402,AVOID_OBSTACLE,1.000,0.13,3.38,59.0,
1784264300.455,AVOID_OBSTACLE,-0.151,0.13,3.38,57.0,
1784264300.507,AVOID_OBSTACLE,0.858,0.13,3.38,55.0,
1784264300.561,AVOID_OBSTACLE,0.774,0.13,6.71,53.0,
1784264300.615,AVOID_OBSTACLE,0.814,0.13,6.71,51.0,
1784264300.669,AVOID_OBSTACLE,0.729,0.13,6.71,49.0,
1784264300.725,AVOID_OBSTACLE,0.703,0.13,6.18,47.0,
1784264300.777,AVOID_OBSTACLE,0.665,0.13,6.18,45.0,
1784264300.837,AVOID_OBSTACLE,0.780,0.13,6.02,43.0,
1784264300.892,AVOID_OBSTACLE,-0.604,0.13,6.02,41.0,
1784264300.952,AVOID_OBSTACLE,1.000,0.13,6.79,39.0,
1784264301.007,AVOID_OBSTACLE,-1.000,0.13,6.79,37.0,
1784264301.063,AVOID_OBSTACLE,0.199,0.13,6.79,35.0,
1784264301.119,AVOID_OBSTACLE,0.223,0.13,5.10,33.0,
1784264301.175,AVOID_OBSTACLE,0.056,0.13,5.10,31.0,
1784264301.230,AVOID_OBSTACLE,0.130,0.13,5.04,29.0,
1784264301.284,AVOID_OBSTACLE,0.170,0.13,5.04,27.0,
1784264301.339,AVOID_OBSTACLE,0.085,0.13,6.76,25.0,
1784264301.400,AVOID_OBSTACLE,0.061,0.13,6.76,23.0,
1784264301.457,AVOID_OBSTACLE,-0.417,0.13,4.96,21.0,
1784264301.513,AVOID_OBSTACLE,-0.107,0.13,4.96,19.0,
1784264301.570,AVOID_OBSTACLE,1.000,0.13,4.96,17.0,
1784264301.626,AVOID_OBSTACLE,-1.000,0.13,5.76,15.0,
1784264301.681,AVOID_OBSTACLE,-0.314,0.13,5.76,13.0,
1784264301.738,AVOID_OBSTACLE,-0.288,0.13,5.75,11.0,
1784264301.795,AVOID_OBSTACLE,-0.249,0.13,5.75,9.0,
1784264301.852,AVOID_OBSTACLE,-0.394,0.13,6.73,7.0,
1784264301.907,AVOID_OBSTACLE,-0.377,0.13,6.73,5.0,
1784264301.963,AVOID_OBSTACLE,-0.407,0.13,4.92,3.0,
1784264302.018,AVOID_OBSTACLE,-0.438,0.13,4.92,1.0,
1784264302.082,AVOID_OBSTACLE,0.104,0.13,4.92,0.0,
1784264302.082,AVOID_OBSTACLE,0.000,0.00,0.00,0.0,OBSTACLE_CLEARED
1784264302.157,KEEP_LANE,1.000,0.22,6.53,0.0,
