timestamp,fps,left_conf,center_conf,right_conf,lane_width_m,lateral_error_m,heading_error_deg,curvature,lookahead_m,target_speed,actual_speed,steer_raw,steer_filtered,tracking_state,reconstruction_method
1786984536.717,0.0,0.908,0.787,0.814,0.4927,-0.0041,7.45,-0.04096,0.196,0.180,0.000,-0.3063,-0.2732,TRACKING,L+C+R_fused
1786984536.806,0.0,0.909,0.788,0.753,0.4924,-0.0042,7.46,-0.03704,0.196,0.180,0.000,-0.3055,-0.3094,TRACKING,L+C+R_fused
1786984536.822,0.0,0.909,0.787,0.743,0.4912,-0.0040,7.60,-0.02815,0.197,0.180,0.000,-0.3038,-0.3136,TRACKING,L+C+R_fused
1786984536.842,0.0,0.909,0.787,0.919,0.4918,-0.0042,7.45,-0.03775,0.196,0.180,0.000,-0.3056,-0.3158,TRACKING,L+C+R_fused
1786984536.858,0.0,0.909,0.788,0.916,0.4919,-0.0042,7.48,-0.03653,0.196,0.180,0.000,-0.3059,-0.3163,TRACKING,L+C+R_fused
1786984536.873,0.0,0.909,0.787,0.913,0.4923,-0.0042,7.43,-0.03976,0.196,0.180,0.000,-0.3062,-0.3167,TRACKING,L+C+R_fused
1786984536.889,0.0,0.909,0.787,0.914,0.4916,-0.0042,7.43,-0.03954,0.196,0.180,0.000,-0.3056,-0.3162,TRACKING,L+C+R_fused
1786984536.903,0.0,0.909,0.789,0.915,0.4906,-0.0041,7.47,-0.03620,0.196,0.180,0.000,-0.3051,-0.3157,TRACKING,L+C+R_fused
1786984536.920,0.0,0.910,0.788,0.919,0.4904,-0.0042,7.42,-0.03940,0.196,0.180,0.000,-0.3057,-0.3162,TRACKING,L+C+R_fused
1786984536.934,0.0,0.910,0.787,0.916,0.4905,-0.0042,7.43,-0.03848,0.196,0.180,0.000,-0.3056,-0.3161,TRACKING,L+C+R_fused
1786984536.957,0.0,0.911,0.788,0.916,0.4898,-0.0042,7.44,-0.03695,0.196,0.180,0.000,-0.3052,-0.3158,TRACKING,L+C+R_fused
1786984536.985,0.0,0.910,0.788,0.919,0.4893,-0.0042,7.44,-0.03697,0.196,0.180,0.000,-0.3053,-0.3158,TRACKING,L+C+R_fused
1786984537.001,0.0,0.909,0.786,0.916,0.4919,-0.0042,7.43,-0.04172,0.196,0.180,0.000,-0.3068,-0.3171,TRACKING,L+C+R_fused
1786984537.019,0.0,0.910,0.786,0.916,0.4918,-0.0041,7.48,-0.03756,0.196,0.180,0.000,-0.3057,-0.3163,TRACKING,L+C+R_fused
1786984537.033,0.0,0.910,0.786,0.916,0.4918,-0.0041,7.48,-0.03737,0.196,0.180,0.000,-0.3056,-0.3162,TRACKING,L+C+R_fused
1786984537.050,0.0,0.911,0.786,0.917,0.4908,-0.0042,7.43,-0.04039,0.196,0.180,0.000,-0.3066,-0.3170,TRACKING,L+C+R_fused
1786984537.068,0.0,0.910,0.786,0.927,0.4901,-0.0041,7.45,-0.03935,0.196,0.180,0.000,-0.3058,-0.3164,TRACKING,L+C+R_fused
1786984537.083,0.0,0.910,0.786,0.927,0.4901,-0.0041,7.48,-0.03799,0.196,0.180,0.000,-0.3054,-0.3160,TRACKING,L+C+R_fused
1786984537.102,0.0,0.910,0.785,0.927,0.4916,-0.0041,7.45,-0.03937,0.196,0.180,0.000,-0.3059,-0.3164,TRACKING,L+C+R_fused
1786984537.119,0.0,0.910,0.786,0.927,0.4916,-0.0041,7.47,-0.03758,0.196,0.180,0.000,-0.3056,-0.3162,TRACKING,L+C+R_fused
1786984537.137,0.0,0.910,0.785,0.927,0.4919,-0.0042,7.41,-0.04214,0.196,0.180,0.000,-0.3066,-0.3170,TRACKING,L+C+R_fused
1786984537.159,0.0,0.910,0.786,0.928,0.4919,-0.0041,7.51,-0.03424,0.197,0.180,0.000,-0.3053,-0.3161,TRACKING,L+C+R_fused
1786984537.174,0.0,0.913,0.786,0.928,0.4918,-0.0042,7.49,-0.03484,0.197,0.180,0.000,-0.3058,-0.3163,TRACKING,L+C+R_fused
1786984537.192,0.0,0.913,0.786,0.929,0.4918,-0.0042,7.48,-0.03539,0.196,0.180,0.000,-0.3058,-0.3164,TRACKING,L+C+R_fused
1786984537.220,0.0,0.913,0.786,0.929,0.4918,-0.0034,5.99,-0.02831,0.196,0.180,0.000,-0.3058,-0.3164,TRACKING,prediction
1786984537.243,0.0,0.913,0.786,0.929,0.4918,-0.0027,4.79,-0.02265,0.196,0.180,0.000,-0.3058,-0.3164,TRACKING,prediction
1786984537.260,0.0,0.913,0.786,0.929,0.4918,-0.0022,3.83,-0.01812,0.196,0.180,0.000,-0.3058,-0.3164,TRACKING,prediction
1786984537.285,0.0,0.913,0.786,0.929,0.4918,-0.0017,3.06,-0.01449,0.196,0.180,0.000,-0.3058,-0.3164,TRACKING,prediction
1786984537.303,0.0,0.913,0.786,0.929,0.4918,-0.0014,2.45,-0.01160,0.196,0.180,0.000,-0.3058,-0.3164,TRACKING,prediction
1786984537.330,0.0,0.913,0.786,0.929,0.4918,-0.0011,1.96,-0.00928,0.196,0.180,0.000,-0.3058,-0.3164,TRACKING,prediction
1786984537.345,0.0,0.913,0.786,0.929,0.4918,-0.0009,1.57,-0.00742,0.196,0.180,0.000,-0.3058,-0.3164,TRACKING,prediction
1786984537.363,0.0,0.913,0.786,0.929,0.4918,-0.0007,1.26,-0.00594,0.196,0.180,0.000,-0.3058,-0.3164,TRACKING,prediction
1786984537.387,0.0,0.913,0.786,0.929,0.4918,-0.0006,1.00,-0.00475,0.196,0.180,0.000,-0.3058,-0.3164,TRACKING,prediction
1786984537.401,0.0,0.913,0.786,0.929,0.4918,-0.0005,0.80,-0.00380,0.196,0.180,0.000,-0.3058,-0.3164,TRACKING,prediction
1786984537.416,0.0,0.913,0.786,0.929,0.4918,-0.0004,0.64,-0.00304,0.196,0.180,0.000,-0.3058,-0.3164,TRACKING,prediction
1786984537.441,0.0,0.913,0.786,0.929,0.4918,-0.0003,0.51,-0.00243,0.196,0.180,0.000,-0.3058,-0.3164,TRACKING,prediction
1786984537.458,0.0,0.909,0.789,0.935,0.4903,-0.0034,7.53,-0.02978,0.197,0.180,0.000,-0.2963,-0.3081,TRACKING,L+C+R_fused
1786984537.477,0.0,0.911,0.788,0.935,0.4900,-0.0034,7.47,-0.03340,0.197,0.180,0.000,-0.2967,-0.3072,TRACKING,L+C+R_fused
1786984537.500,0.0,0.908,0.787,0.935,0.4888,-0.0035,7.47,-0.03311,0.197,0.180,0.000,-0.2968,-0.3073,TRACKING,L+C+R_fused
1786984537.524,0.0,0.906,0.790,0.938,0.4886,-0.0035,7.45,-0.03598,0.196,0.180,0.000,-0.2977,-0.3080,TRACKING,L+C+R_fused
1786984537.540,0.0,0.906,0.789,0.938,0.4891,-0.0035,7.42,-0.03888,0.196,0.180,0.000,-0.2979,-0.3083,TRACKING,L+C+R_fused
1786984537.562,0.0,0.906,0.789,0.938,0.4891,-0.0035,7.42,-0.03857,0.196,0.180,0.000,-0.2979,-0.3083,TRACKING,L+C+R_fused
1786984537.578,0.0,0.906,0.790,0.938,0.4891,-0.0035,7.46,-0.03592,0.196,0.180,0.000,-0.2978,-0.3083,TRACKING,L+C+R_fused
1786984537.592,0.0,0.905,0.789,0.938,0.4894,-0.0034,7.51,-0.03240,0.197,0.180,0.000,-0.2973,-0.3079,TRACKING,L+C+R_fused
1786984537.615,0.0,0.905,0.789,0.938,0.4893,-0.0037,7.41,-0.03745,0.196,0.180,0.000,-0.2992,-0.3094,TRACKING,L+C+R_fused
1786984537.637,0.0,0.907,0.790,0.938,0.4894,-0.0038,7.44,-0.03402,0.197,0.180,0.000,-0.2992,-0.3096,TRACKING,L+C+R_fused
1786984537.654,0.0,0.900,0.791,0.934,0.4922,-0.0040,7.49,-0.03113,0.197,0.180,0.000,-0.3018,-0.3119,TRACKING,L+C+R_fused
1786984537.670,47.8,0.907,0.790,0.936,0.4906,-0.0043,7.60,-0.01896,0.198,0.180,0.000,-0.3026,-0.3130,TRACKING,L+C+R_fused
1786984537.695,47.8,0.904,0.786,0.913,0.4945,-0.0044,7.53,-0.01880,0.198,0.180,0.000,-0.3015,-0.3122,TRACKING,L+C+R_fused
1786984537.709,47.8,0.896,0.787,0.918,0.4980,-0.0054,7.44,-0.02049,0.198,0.180,0.000,-0.3085,-0.3181,TRACKING,L+C+R_fused
1786984537.737,47.8,0.896,0.787,0.918,0.4980,-0.0043,5.95,-0.01639,0.198,0.180,0.000,-0.3085,-0.3190,TRACKING,prediction
1786984537.752,47.8,0.896,0.791,0.344,0.5005,-0.0066,7.48,-0.01107,0.199,0.180,0.000,-0.3171,-0.3266,TRACKING,L+C+R_fused
1786984537.768,47.8,0.893,0.790,0.640,0.5010,-0.0073,7.68,0.00958,0.199,0.180,0.000,-0.3260,-0.3354,TRACKING,L+C+R_fused
1786984537.785,47.8,0.888,0.788,0.924,0.5034,-0.0092,7.52,0.00545,0.199,0.700,0.000,-0.3375,-0.3466,TRACKING,L+C+R_fused
1786984537.803,47.8,0.888,0.788,0.924,0.5034,-0.0073,6.01,0.00436,0.199,0.700,0.000,-0.3375,-0.2441,TRACKING,prediction
1786984537.818,47.8,0.874,0.789,0.913,0.5021,-0.0125,7.22,-0.00176,0.200,0.700,0.000,-0.3589,-0.2416,TRACKING,L+C+R_fused
1786984537.832,47.8,0.880,0.785,0.702,0.5097,-0.0139,7.36,0.02198,0.198,0.700,0.000,-0.3792,-0.2524,TRACKING,L+C+R_fused
1786984537.856,47.8,0.902,0.785,0.848,0.5125,-0.0158,7.13,0.00543,0.199,0.700,0.000,-0.3868,-0.2584,TRACKING,L+C+R_fused
1786984537.871,47.8,0.889,0.789,0.938,0.5211,-0.0182,6.75,-0.01135,0.199,0.700,0.000,-0.4019,-0.2678,TRACKING,L+C+R_fused
1786984537.892,47.8,0.907,0.791,0.936,0.5189,-0.0200,6.59,-0.01514,0.198,0.700,0.000,-0.4150,-0.2765,TRACKING,L+C+R_fused
1786984537.908,47.8,0.914,0.789,0.913,0.5216,-0.0213,6.92,0.01754,0.198,0.700,0.000,-0.4320,-0.2873,TRACKING,L+C+R_fused
1786984537.925,47.8,0.906,0.791,0.914,0.5180,-0.0224,6.78,0.01569,0.198,0.700,0.000,-0.4376,-0.2921,TRACKING,L+C+R_fused
1786984537.950,47.8,0.903,0.790,0.930,0.5165,-0.0231,6.48,0.00961,0.199,0.700,0.000,-0.4330,-0.2902,TRACKING,L+C+R_fused
1786984537.969,47.8,0.909,0.789,0.932,0.5198,-0.0224,6.54,0.03115,0.197,0.700,0.000,-0.4340,-0.2902,TRACKING,L+C+R_fused
1786984537.992,47.8,0.908,0.789,0.914,0.5165,-0.0209,5.99,0.00463,0.200,0.700,0.000,-0.3971,-0.2696,TRACKING,L+C+R_fused
1786984538.009,47.8,0.897,0.788,0.740,0.5149,-0.0179,5.80,0.00811,0.199,0.700,0.000,-0.3647,-0.2482,TRACKING,L+C+R_fused
1786984538.025,47.8,0.887,0.792,0.922,0.5196,-0.0149,5.61,0.00596,0.199,0.700,0.000,-0.3306,-0.2258,TRACKING,L+C+R_fused
1786984538.040,47.8,0.886,0.794,0.928,0.5189,-0.0140,5.35,0.00134,0.200,0.700,0.000,-0.3133,-0.2127,TRACKING,L+C+R_fused
1786984538.056,47.8,0.900,0.790,0.922,0.5170,-0.0145,5.31,0.01585,0.198,0.700,0.000,-0.3186,-0.2137,TRACKING,L+C+R_fused
1786984538.072,47.8,0.896,0.790,0.924,0.5173,-0.0158,5.17,0.01317,0.199,0.700,0.000,-0.3256,-0.2178,TRACKING,L+C+R_fused
1786984538.088,47.8,0.899,0.790,0.928,0.5139,-0.0172,5.06,0.01261,0.199,0.700,0.000,-0.3357,-0.2241,TRACKING,L+C+R_fused
1786984538.101,47.8,0.911,0.792,0.785,0.5148,-0.0185,4.83,0.00341,0.200,0.700,0.000,-0.3391,-0.2270,TRACKING,L+C+R_fused
1786984538.123,47.8,0.902,0.795,0.761,0.5140,-0.0197,4.56,-0.01325,0.199,0.700,0.000,-0.3483,-0.2326,TRACKING,L+C+R_fused
1786984538.138,47.8,0.909,0.793,0.762,0.5137,-0.0219,4.20,-0.01975,0.198,0.700,0.000,-0.3605,-0.2402,TRACKING,L+C+R_fused
1786984538.165,47.8,0.911,0.791,0.791,0.5155,-0.0232,4.58,0.01839,0.198,0.700,0.000,-0.3775,-0.2509,TRACKING,L+C+R_fused
1786984538.181,47.8,0.914,0.795,0.756,0.5169,-0.0271,3.53,-0.04503,0.195,0.700,0.000,-0.4022,-0.2663,TRACKING,L+C+R_fused
1786984538.199,47.8,0.909,0.786,0.784,0.5166,-0.0292,3.92,-0.00984,0.199,0.700,0.000,-0.4139,-0.2754,TRACKING,L+C+R_fused
1786984538.213,47.8,0.909,0.786,0.784,0.5166,-0.0234,3.14,-0.00787,0.199,0.180,0.000,-0.4139,-0.2767,TRACKING,prediction
1786984538.236,47.8,0.909,0.786,0.784,0.5166,-0.0187,2.51,-0.00630,0.199,0.180,0.000,-0.4139,-0.4035,TRACKING,prediction
1786984538.251,47.8,0.909,0.786,0.784,0.5166,-0.0150,2.01,-0.00504,0.199,0.180,0.000,-0.4139,-0.4217,TRACKING,prediction
