epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.58942,2.05453,5.78561,3.54086,1.94308,0,0.00809,0.75556,0.25666,0.114,0.0069,0.66944,0.1472,0.04968,1.91758,4.77975,3.35085,1.65408,0,0.0004287,0.0004287,0.0004287
2,5.9121,1.72573,4.22283,3.05029,1.62927,0,0.00759,0.72778,0.22219,0.10187,0.00637,0.65,0.16243,0.04149,1.92986,6.10028,3.25585,1.81848,0,0.000896074,0.000896074,0.000896074
3,9.1199,1.59209,3.60338,2.30968,1.49763,0,0.00896,0.775,0.22809,0.09047,0.00466,0.36944,0.00499,0.00084,2.39817,6.31478,3.38433,2.4254,0,0.00135402,0.00135402,0.00135402
4,12.4484,1.60806,3.29391,1.96332,1.50688,0,0.54946,0.48889,0.29864,0.15201,0.47583,0.2,0.1169,0.03283,1.98844,8.53085,2.87565,1.67562,0,0.00138656,0.00138656,0.00138656
5,15.1377,1.48296,3.12941,1.78628,1.45814,0,0.60776,0.51111,0.35861,0.15133,0.49863,0.31111,0.13069,0.03519,1.953,8.27327,3.90816,1.82476,0,0.00137241,0.00137241,0.00137241
6,17.9111,1.50124,3.01753,1.72001,1.46488,0,0.55762,0.4,0.43364,0.16221,0.48659,0.26667,0.24524,0.0664,2.13217,7.34366,5.80809,2.06812,0,0.00135826,0.00135826,0.00135826
7,20.7796,1.40665,2.96089,1.61177,1.39508,0,0.39049,0.64722,0.50655,0.29405,0.37708,0.55,0.44396,0.17999,1.58788,4.90277,3.52661,1.48357,0,0.00134412,0.00134412,0.00134412
8,23.6172,1.39185,3.0036,1.62451,1.38487,0,0.41545,0.57038,0.45074,0.16601,0.4458,0.51786,0.40496,0.15072,2.03252,4.60748,5.21776,2.13362,0,0.00132997,0.00132997,0.00132997
9,26.2008,1.35644,2.71799,1.5482,1.33223,0,0.40208,0.68333,0.49205,0.26997,0.30607,0.49256,0.31272,0.11219,1.57384,4.3454,3.26697,1.49652,0,0.00131582,0.00131582,0.00131582
10,28.7274,1.31434,2.8435,1.51229,1.33395,0,0.32269,0.76565,0.42721,0.25318,0.28143,0.64444,0.32663,0.16915,1.46382,4.10858,2.79778,1.3235,0,0.00130168,0.00130168,0.00130168
11,31.6543,1.26927,2.67797,1.45446,1.31022,0,0.50299,0.57356,0.56361,0.32936,0.4827,0.5545,0.51876,0.25326,1.5299,3.11356,1.88136,1.29739,0,0.00128753,0.00128753,0.00128753
12,34.3412,1.22788,2.6094,1.43881,1.29252,0,0.6042,0.73056,0.6423,0.34522,0.60663,0.64019,0.55959,0.29503,1.4512,3.09366,1.79064,1.26923,0,0.00127338,0.00127338,0.00127338
13,36.774,1.22052,2.63648,1.41015,1.27583,0,0.56006,0.81469,0.61518,0.37033,0.54618,0.79449,0.58687,0.31796,1.37137,2.91278,1.63159,1.22087,0,0.00125923,0.00125923,0.00125923
14,39.3982,1.23164,2.53351,1.37234,1.27447,0,0.53513,0.86667,0.61767,0.36325,0.52248,0.77835,0.53562,0.26049,1.34104,2.81218,1.6174,1.20793,0,0.00124509,0.00124509,0.00124509
15,42.0099,1.25237,2.60521,1.37632,1.30703,0,0.51795,0.85833,0.57798,0.35555,0.51321,0.7526,0.52628,0.27287,1.30746,2.62073,1.65146,1.20113,0,0.00123094,0.00123094,0.00123094
16,44.8744,1.21336,2.56091,1.39587,1.29546,0,0.48894,0.83199,0.63731,0.39013,0.47909,0.74371,0.59087,0.33085,1.32298,2.51257,1.62041,1.20219,0,0.00121679,0.00121679,0.00121679
17,47.5109,1.18371,2.55696,1.35527,1.26273,0,0.65035,0.74444,0.71581,0.40654,0.69127,0.74444,0.66988,0.3579,1.48844,2.44481,1.61721,1.27982,0,0.00120265,0.00120265,0.00120265
18,50.0367,1.16247,2.45972,1.33999,1.23777,0,0.70229,0.82845,0.76482,0.46749,0.69397,0.73699,0.73386,0.38596,1.37764,2.55848,1.51472,1.23141,0,0.0011885,0.0011885,0.0011885
19,52.8934,1.15137,2.52038,1.2717,1.23199,0,0.6913,0.7396,0.78386,0.5058,0.68437,0.70176,0.75861,0.42307,1.28,2.39403,1.39786,1.1821,0,0.00117435,0.00117435,0.00117435
