epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.34686,1.49142,6.37266,2.6967,1.58706,0,0.0038,1,0.22054,0.09021,0.0038,1,0.12275,0.05742,1.03935,3.21326,2.55778,0.76845,0,0.000333333,0.000333333,0.000333333
2,6.05531,1.07204,3.65192,2.36624,1.26797,0,0.0036,1,0.995,0.899,0.0036,1,0.995,0.82525,0.31644,2.17203,2.40419,0.45338,0,0.0009802,0.0009802,0.0009802
3,8.6974,0.76862,2.08028,2.02616,1.16992,0,0.0036,1,0.995,0.899,0.0036,1,0.995,0.82525,0.31644,2.17203,2.40419,0.45338,0,0.00160067,0.00160067,0.00160067
4,11.3838,1.37597,3.06251,2.1128,1.37237,0,0.65821,0.77463,0.7331,0.25194,0.65821,0.77463,0.72417,0.21719,1.87678,5.00999,2.02013,2.21406,0,0.0018812,0.0018812,0.0018812
5,14.6217,1.55423,2.34972,1.97429,1.47829,0,0.65821,0.77463,0.7331,0.25194,0.65821,0.77463,0.72417,0.21719,1.87678,5.00999,2.02013,2.21406,0,0.0018416,0.0018416,0.0018416
6,17.4623,1.55635,2.40041,1.77547,1.43219,0,0.00333,1,0.10585,0.02626,0,0,0,0,2.72676,24.9069,3.02895,2.49541,0,0.001802,0.001802,0.001802
7,19.791,1.4917,1.61869,1.65927,1.4514,0,0.00333,1,0.10585,0.02626,0,0,0,0,2.72676,24.9069,3.02895,2.49541,0,0.0017624,0.0017624,0.0017624
8,22.05,1.85346,1.6906,1.69878,1.71667,0,1,0.59674,0.85056,0.35407,0,0,0,0,1.71673,11.9222,1.96527,2.06996,0,0.0017228,0.0017228,0.0017228
9,25.0197,1.36182,1.43405,1.85295,1.49791,0,1,0.59674,0.85056,0.35407,0,0,0,0,1.71673,11.9222,1.96527,2.06996,0,0.0016832,0.0016832,0.0016832
10,27.9999,1.5389,1.43408,1.74188,1.48349,0,0.797,0.78801,0.81382,0.35354,0.09208,0.2,0.05722,0.00769,1.61583,9.17769,2.16542,2.06721,0,0.0016436,0.0016436,0.0016436
11,30.4022,1.25003,1.44661,1.55755,1.40503,0,0.797,0.78801,0.81382,0.35354,0.09208,0.2,0.05722,0.00769,1.61583,9.17769,2.16542,2.06721,0,0.001604,0.001604,0.001604
12,33.0405,1.09004,0.97537,1.40109,1.36659,0,0.24122,0.8,0.19994,0.08486,0.00217,0.6,0.00245,0.0003,2.05483,22.5691,4.08762,2.30786,0,0.0015644,0.0015644,0.0015644
13,35.3876,1.5466,0.94865,1.89929,1.49785,0,0.24122,0.8,0.19994,0.08486,0.00217,0.6,0.00245,0.0003,2.05483,22.5691,4.08762,2.30786,0,0.0015248,0.0015248,0.0015248
14,37.9675,1.09594,1.72439,1.4308,1.31772,0,0.16861,0.2,0.12991,0.06185,0.00765,0.2,0.00443,0.00089,2.08117,19.2457,4.50535,2.14624,0,0.0014852,0.0014852,0.0014852
15,40.8513,1.13873,0.93833,1.41801,1.27802,0,0.16861,0.2,0.12991,0.06185,0.00765,0.2,0.00443,0.00089,2.08117,19.2457,4.50535,2.14624,0,0.0014456,0.0014456,0.0014456
16,43.7841,0.84798,0.62961,1.17126,1.15189,0,0.4359,0.6,0.62744,0.51974,0.15998,0.4,0.24994,0.03529,1.18784,7.5537,2.289,1.63575,0,0.001406,0.001406,0.001406
17,46.7814,0.85944,1.58283,1.16829,1.14087,0,0.4359,0.6,0.62744,0.51974,0.15998,0.4,0.24994,0.03529,1.18784,7.5537,2.289,1.63575,0,0.0013664,0.0013664,0.0013664
18,49.5571,0.75667,0.994,1.21373,1.13022,0,0.62319,0.8,0.86643,0.62146,0.62319,0.8,0.86643,0.31785,1.12382,6.19591,2.3423,1.20663,0,0.0013268,0.0013268,0.0013268
19,52.0585,0.97751,1.74836,1.42597,1.20595,0,0.62319,0.8,0.86643,0.62146,0.62319,0.8,0.86643,0.31785,1.12382,6.19591,2.3423,1.20663,0,0.0012872,0.0012872,0.0012872
20,54.7812,0.85611,0.98946,1.17553,1.09633,0,0.82111,0.92665,0.96167,0.46095,0.58178,0.6,0.59065,0.13338,1.88685,8.76887,3.21674,2.1129,0,0.0012476,0.0012476,0.0012476
21,57.2346,0.81779,0.74268,1.14469,1.16068,0,0.82111,0.92665,0.96167,0.46095,0.58178,0.6,0.59065,0.13338,1.88685,8.76887,3.21674,2.1129,0,0.001208,0.001208,0.001208
