epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.69138,0,0,16.9779,0,0,0,0,0,0,0,0,0,0,0,0,11.3144,0,0,0.000333333,0.000333333,0.000333333
2,9.80018,0,0,17.0364,0,0,0,0,0,0,0,0,0,0,0,0,11.3577,0,0,0.0009802,0.0009802,0.0009802
3,12.9841,0,0,16.9733,0,0,0,0,0,0,0,0,0,0,0,0,11.3577,0,0,0.00160067,0.00160067,0.00160067
4,15.6674,0,0,16.8549,0,0,0,0,0,0,0,0,0,0,0,0,11.3014,0,0,0.0018812,0.0018812,0.0018812
5,18.2663,0,0,15.8428,0,0,0,0,0,0,0,0,0,0,0,0,11.3014,0,0,0.0018416,0.0018416,0.0018416
6,20.8748,0,0,15.7718,0,0,0,0,0,0,0,0,0,0,0,0,11.0883,0,0,0.001802,0.001802,0.001802
7,23.3091,0,0,15.2191,0,0,0,0,0,0,0,0,0,0,0,0,11.0883,0,0,0.0017624,0.0017624,0.0017624
8,25.57,0,0,15.1322,0,0,0,0,0,0,0,0,0,0,0,0,10.9795,0,0,0.0017228,0.0017228,0.0017228
9,28.6744,0,0,14.6759,0,0,0,0,0,0,0,0,0,0,0,0,10.9795,0,0,0.0016832,0.0016832,0.0016832
10,31.0907,0,0,14.5977,0,0,0,0,0,0,0,0,0,0,0,0,10.7645,0,0,0.0016436,0.0016436,0.0016436
11,33.7615,0,0,13.8062,0,0,0,0,0,0,0,0,0,0,0,0,10.7645,0,0,0.001604,0.001604,0.001604
12,37.0341,0,0,13.7418,0,0,0,0,0,0,0,0,0,0,0,0,11.851,0,0,0.0015644,0.0015644,0.0015644
13,40.2468,0,0,13.1163,0,0,0,0,0,0,0,0,0,0,0,0,11.851,0,0,0.0015248,0.0015248,0.0015248
14,43.3809,0,0,13.093,0,0,0,0,0,0,0,0,0,0,0,0,50.6527,0,0,0.0014852,0.0014852,0.0014852
15,46.9457,0,0,12.491,0,0,0,0,0,0,0,0,0,0,0,0,50.6527,0,0,0.0014456,0.0014456,0.0014456
16,50.3309,0,0,12.4591,0,0,0,0,0,0,0,0,0,0,0,0,39.1102,0,0,0.001406,0.001406,0.001406
17,52.964,0,0,12.0593,0,0,0,0,0,0,0,0,0,0,0,0,39.1102,0,0,0.0013664,0.0013664,0.0013664
18,56.5087,0,0,11.8686,0,0,0,0,0,0,0,0,0,0,0,0,19.9373,0,0,0.0013268,0.0013268,0.0013268
19,59.9179,0,0,11.5069,0,0,0,0,0,0,0,0,0,0,0,0,19.9373,0,0,0.0012872,0.0012872,0.0012872
20,63.1783,0,0,11.4198,0,0,0,0,0,0,0,0,0,0,0,0,20.5895,0,0,0.0012476,0.0012476,0.0012476
21,66.4474,0,0,11.1299,0,0,0,0,0,0,0,0,0,0,0,0,20.5895,0,0,0.001208,0.001208,0.001208
22,69.5426,0,0,11.0603,0,0,0,0,0,0,0,0,0,0,0,0,145.53,0,0,0.0011684,0.0011684,0.0011684
23,72.4466,0,0,10.8143,0,0,0,0,0,0,0,0,0,0,0,0,145.53,0,0,0.0011288,0.0011288,0.0011288
24,75.9601,0,0,10.7909,0,0,0,0,0,0,0,0,0,0,0,0,15.3126,0,0,0.0010892,0.0010892,0.0010892
25,78.5189,0,0,10.3953,0,0,0,0,0,0,0,0,0,0,0,0,15.3126,0,0,0.0010496,0.0010496,0.0010496
26,80.9711,0,0,10.4269,0,0,0,0,0,0,0,0,0,0,0,0,8.01569,0,0,0.00101,0.00101,0.00101
27,83.1446,0,0,10.198,0,0,0,0,0,0,0,0,0,0,0,0,8.01569,0,0,0.0009704,0.0009704,0.0009704
28,85.4566,0,0,10.1006,0,0,0,0,0,0,0,0,0,0,0,0,7.51189,0,0,0.0009308,0.0009308,0.0009308
29,87.7154,0,0,9.95873,0,0,0,0,0,0,0,0,0,0,0,0,7.51189,0,0,0.0008912,0.0008912,0.0008912
